                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3928,                 2.5709,                 1.6151,                 1.2745,                 0.9913,                0.94562,                0.96739,                0.92749,                0.99021,                0.94453,                 0.9651,                0.87999,                0.29183,                0.55489,                0.38191,                0.81038,              0.0033284,              0.0033284,              0.0033284
                      2,                 1.3654,                 2.5792,                 1.2275,                 1.2709,                0.98988,                 0.9453,                0.96958,                0.92519,                0.98887,                0.94429,                0.96731,                0.88204,                0.31728,                0.56852,                0.34105,                0.81796,              0.0066398,              0.0066398,              0.0066398
                      3,                 1.3929,                 2.6263,                 1.2321,                 1.2916,                0.98892,                0.94425,                0.96879,                0.92154,                0.98771,                0.94309,                0.96623,                0.88226,                0.32325,                0.58073,                0.32424,                 0.8212,              0.0099291,              0.0099291,              0.0099291
                      4,                 1.4108,                 2.6513,                 1.2281,                 1.3024,                0.98983,                0.94269,                0.96862,                0.92496,                0.98905,                  0.941,                0.96618,                0.88086,                 0.3179,                 0.5951,                0.30085,                0.82283,               0.009901,               0.009901,               0.009901
                      5,                 1.3993,                 2.6486,                  1.201,                 1.2984,                0.98975,                0.94483,                0.96951,                0.92432,                 0.9892,                 0.9429,                0.96715,                0.88781,                0.32227,                0.58026,                0.28817,                0.82338,               0.009901,               0.009901,               0.009901
                      6,                 1.3986,                 2.6489,                 1.1954,                 1.2962,                0.98901,                0.94267,                0.96927,                0.92105,                0.98839,                0.94027,                0.96642,                0.88747,                0.33421,                0.60125,                0.29787,                0.82559,               0.009868,               0.009868,               0.009868
                      7,                 1.3923,                 2.6452,                 1.1825,                 1.2918,                0.99117,                0.94336,                0.97044,                0.92674,                0.99012,                0.94221,                0.96677,                0.89412,                0.32524,                0.60404,                0.27275,                0.81976,               0.009835,               0.009835,               0.009835
                      8,                  1.397,                 2.6524,                 1.1788,                 1.2923,                0.98603,                0.94161,                0.96888,                0.92921,                0.98566,                0.93922,                0.96602,                0.88979,                0.31223,                0.58142,                0.27435,                0.81814,               0.009802,               0.009802,               0.009802
                      9,                 1.3923,                 2.6469,                 1.1704,                 1.2888,                0.99087,                0.94473,                0.97133,                 0.9303,                0.98929,                0.94315,                0.96873,                0.89099,                0.30716,                0.57653,                0.26542,                0.81803,               0.009769,               0.009769,               0.009769
                     10,                 1.3853,                 2.6404,                 1.1616,                 1.2845,                0.98917,                0.94591,                0.97138,                0.93105,                0.98801,                0.94436,                0.96802,                0.89275,                0.30822,                 0.5645,                0.25885,                0.81641,               0.009736,               0.009736,               0.009736
                     11,                 1.3812,                 2.6301,                 1.1536,                 1.2828,                0.99039,                0.94492,                0.97108,                0.93336,                0.98868,                0.94346,                 0.9682,                0.89537,                0.29948,                0.55413,                0.25248,                0.81357,               0.009703,               0.009703,               0.009703
                     12,                 1.3766,                 2.6286,                 1.1529,                 1.2813,                0.99022,                0.94458,                0.97155,                 0.9319,                0.98891,                 0.9443,                0.96941,                0.89399,                0.31118,                0.56588,                0.25411,                0.81542,                0.00967,                0.00967,                0.00967
                     13,                 1.3724,                 2.6274,                  1.147,                 1.2775,                0.99123,                0.94403,                 0.9716,                0.93375,                0.99069,                 0.9419,                0.96825,                0.89397,                0.30018,                0.56685,                0.24892,                0.81379,               0.009637,               0.009637,               0.009637
                     14,                 1.3687,                 2.6195,                 1.1402,                 1.2733,                0.98936,                0.94637,                0.97166,                0.93261,                0.98862,                0.94452,                0.96869,                0.89416,                0.30267,                0.57707,                0.24529,                0.81407,               0.009604,               0.009604,               0.009604
                     15,                 1.3676,                 2.6172,                  1.137,                 1.2715,                 0.9879,                0.94848,                0.97301,                0.93564,                0.98902,                0.94521,                0.96939,                0.89607,                0.29661,                0.56501,                0.24056,                0.81174,               0.009571,               0.009571,               0.009571
                     16,                 1.3697,                 2.6194,                 1.1383,                 1.2733,                   0.99,                0.94526,                0.97183,                 0.9348,                 0.9891,                0.94414,                0.96888,                0.89542,                0.29327,                0.55228,                0.24183,                0.81105,               0.009538,               0.009538,               0.009538
                     17,                 1.3687,                 2.6176,                   1.13,                 1.2682,                0.98986,                 0.9468,                0.97256,                0.93546,                0.98959,                0.94413,                0.96939,                0.89547,                0.29112,                0.55806,                0.23895,                0.81014,               0.009505,               0.009505,               0.009505
                     18,                 1.3606,                 2.6043,                 1.1241,                 1.2665,                0.98845,                0.94948,                0.97237,                0.93617,                0.98762,                0.94743,                0.97016,                0.89871,                0.29252,                0.55946,                0.23503,                0.80991,               0.009472,               0.009472,               0.009472
                     19,                 1.3586,                 2.5969,                 1.1201,                  1.264,                0.98986,                0.94812,                0.97304,                0.93772,                0.98951,                0.94673,                0.97043,                0.89827,                0.29004,                0.55076,                0.23187,                0.80982,               0.009439,               0.009439,               0.009439
                     20,                 1.3632,                 2.6108,                 1.1235,                 1.2669,                0.99079,                 0.9462,                0.97348,                0.93737,                0.99088,                0.94511,                0.97072,                0.89976,                0.29322,                0.55543,                0.23219,                0.81004,               0.009406,               0.009406,               0.009406
                     21,                  1.368,                 2.6123,                 1.1186,                 1.2657,                0.99171,                0.94626,                0.97268,                0.93788,                0.99133,                0.94569,                0.96936,                 0.9001,                0.28574,                0.54899,                0.23035,                0.80794,               0.009373,               0.009373,               0.009373
                     22,                 1.3563,                  2.595,                  1.108,                 1.2565,                 0.9891,                0.94886,                0.97353,                0.93793,                0.98793,                0.94708,                 0.9705,                0.89593,                0.28748,                0.54568,                0.23053,                 0.8083,                0.00934,                0.00934,                0.00934
                     23,                  1.356,                 2.5979,                   1.11,                 1.2592,                  0.991,                0.94866,                0.97368,                0.93871,                0.98973,                0.94749,                0.97117,                0.89826,                 0.2823,                0.54508,                0.22593,                0.80683,               0.009307,               0.009307,               0.009307
                     24,                 1.3454,                 2.5844,                 1.1009,                  1.253,                   0.99,                0.94925,                0.97447,                0.93905,                0.99103,                0.94645,                0.97102,                0.90204,                0.28598,                0.54092,                 0.2243,                0.80658,               0.009274,               0.009274,               0.009274
                     25,                 1.3546,                 2.5941,                  1.105,                 1.2561,                0.99235,                0.94845,                0.97387,                0.93891,                0.99112,                0.94678,                0.97095,                0.89753,                0.28066,                0.53497,                0.22292,                0.80667,               0.009241,               0.009241,               0.009241
                     26,                 1.3449,                 2.5771,                 1.0958,                 1.2521,                0.98918,                0.94984,                0.97427,                0.93888,                0.98818,                0.94783,                0.97078,                0.90176,                0.28321,                 0.5388,                0.22253,                0.80633,               0.009208,               0.009208,               0.009208
                     27,                 1.3473,                 2.5911,                 1.1008,                 1.2534,                0.99023,                0.94991,                0.97461,                   0.94,                0.98943,                0.94756,                0.97075,                0.90091,                0.27904,                0.54098,                0.22021,                0.80528,               0.009175,               0.009175,               0.009175
                     28,                 1.3585,                 2.6022,                  1.105,                 1.2569,                0.99194,                0.94952,                0.97486,                0.94012,                0.99089,                0.94758,                0.97116,                0.90112,                0.28016,                0.54047,                0.21981,                0.80617,               0.009142,               0.009142,               0.009142
                     29,                 1.3496,                 2.5884,                 1.0959,                 1.2527,                0.99108,                0.94912,                0.97442,                0.94049,                0.98995,                0.94751,                0.97128,                 0.9001,                0.27696,                0.53189,                0.21812,                0.80507,               0.009109,               0.009109,               0.009109
                     30,                 1.3549,                 2.5938,                 1.0968,                 1.2526,                0.99012,                 0.9497,                0.97513,                0.94105,                0.98986,                0.94779,                 0.9718,                0.90181,                0.27705,                0.53322,                0.21568,                0.80491,               0.009076,               0.009076,               0.009076
                     31,                  1.347,                 2.5806,                 1.0893,                 1.2475,                0.99145,                0.94862,                0.97524,                0.94077,                0.99152,                0.94674,                0.97133,                0.90195,                0.27892,                0.53416,                0.21511,                0.80461,               0.009043,               0.009043,               0.009043
                     32,                 1.3443,                 2.5801,                 1.0877,                 1.2496,                0.98973,                0.94992,                0.97535,                0.94158,                0.98959,                0.94745,                0.97235,                0.90276,                0.27561,                0.52466,                0.21322,                 0.8035,                0.00901,                0.00901,                0.00901
                     33,                 1.3518,                 2.5888,                 1.0935,                 1.2514,                0.99213,                0.95012,                0.97521,                0.94081,                0.99173,                0.94823,                0.97201,                0.90304,                0.27664,                0.53266,                0.21403,                0.80439,               0.008977,               0.008977,               0.008977
                     34,                 1.3426,                 2.5812,                 1.0864,                  1.246,                0.99066,                0.95088,                0.97569,                0.94239,                0.98913,                0.94936,                0.97212,                0.90361,                0.27476,                0.52874,                0.21043,                0.80297,               0.008944,               0.008944,               0.008944
                     35,                 1.3448,                 2.5778,                 1.0848,                 1.2465,                0.99221,                 0.9502,                0.97549,                 0.9423,                0.99121,                0.94803,                0.97202,                0.90292,                0.27262,                0.53184,                0.20958,                0.80272,               0.008911,               0.008911,               0.008911
                     36,                 1.3433,                 2.5705,                 1.0823,                 1.2465,                0.99093,                0.95149,                0.97547,                0.94225,                  0.989,                0.95075,                 0.9725,                 0.9032,                0.27106,                0.52806,                0.20965,                0.80237,               0.008878,               0.008878,               0.008878
                     37,                  1.345,                 2.5768,                 1.0801,                 1.2449,                0.99211,                0.95042,                0.97571,                0.94251,                0.99094,                0.94856,                0.97286,                0.90415,                0.27373,                0.52652,                0.20925,                 0.8026,               0.008845,               0.008845,               0.008845
                     38,                 1.3392,                 2.5712,                 1.0845,                 1.2444,                0.99117,                0.95081,                 0.9763,                0.94269,                 0.9905,                0.94928,                0.97279,                0.90393,                0.27201,                0.52583,                0.20868,                0.80199,               0.008812,               0.008812,               0.008812
                     39,                 1.3369,                 2.5678,                 1.0755,                 1.2432,                0.99058,                0.95167,                0.97634,                0.94313,                0.99074,                0.94889,                0.97267,                0.90338,                0.26944,                0.52569,                0.20807,                0.80159,               0.008779,               0.008779,               0.008779
                     40,                 1.3354,                 2.5638,                 1.0668,                 1.2391,                0.98989,                0.95205,                0.97603,                0.94238,                0.98873,                0.95006,                0.97281,                0.90298,                0.27049,                0.52451,                 0.2078,                0.80189,               0.008746,               0.008746,               0.008746
                     41,                 1.3403,                  2.568,                 1.0724,                 1.2409,                0.98929,                0.95264,                0.97624,                0.94336,                0.99011,                0.94935,                0.97235,                0.90337,                 0.2693,                0.52721,                0.20768,                0.80147,               0.008713,               0.008713,               0.008713
                     42,                 1.3374,                 2.5686,                 1.0734,                 1.2413,                0.98991,                0.95232,                 0.9768,                0.94367,                0.99007,                 0.9495,                0.97312,                 0.9039,                0.27049,                  0.524,                0.20713,                0.80149,                0.00868,                0.00868,                0.00868
                     43,                 1.3367,                 2.5588,                 1.0695,                 1.2388,                0.99216,                0.95125,                0.97677,                0.94439,                0.99144,                0.94966,                0.97288,                 0.9045,                0.26824,                0.52552,                0.20532,                0.80102,               0.008647,               0.008647,               0.008647
                     44,                 1.3282,                 2.5566,                 1.0655,                 1.2372,                0.99098,                0.95256,                0.97696,                0.94477,                0.99034,                0.94981,                0.97295,                0.90495,                0.26658,                0.52308,                0.20453,                0.80049,               0.008614,               0.008614,               0.008614
                     45,                 1.3365,                 2.5672,                 1.0715,                 1.2398,                0.99032,                0.95327,                0.97686,                0.94475,                0.99255,                0.94836,                0.97264,                0.90424,                0.26611,                0.52163,                0.20401,                0.80018,               0.008581,               0.008581,               0.008581
                     46,                 1.3353,                 2.5633,                 1.0713,                 1.2393,                0.99178,                0.95167,                0.97707,                0.94518,                0.99108,                0.94949,                0.97287,                0.90422,                0.26707,                0.52144,                0.20408,                0.80015,               0.008548,               0.008548,               0.008548
                     47,                 1.3364,                 2.5632,                 1.0656,                 1.2377,                0.99173,                0.95035,                0.97715,                0.94444,                0.99168,                0.94858,                0.97328,                0.90521,                0.26638,                0.52098,                0.20387,                0.80011,               0.008515,               0.008515,               0.008515
                     48,                 1.3318,                 2.5547,                 1.0625,                 1.2364,                0.98959,                0.95231,                0.97742,                 0.9447,                0.99158,                0.94844,                0.97327,                0.90492,                 0.2667,                0.52279,                0.20349,                0.80009,               0.008482,               0.008482,               0.008482
                     49,                 1.3292,                 2.5503,                 1.0558,                 1.2356,                0.99017,                0.95204,                0.97754,                0.94528,                0.98964,                0.95073,                0.97338,                0.90482,                0.26554,                0.52114,                0.20173,                0.79955,               0.008449,               0.008449,               0.008449
                     50,                   1.33,                 2.5555,                 1.0589,                 1.2349,                0.99026,                 0.9527,                0.97769,                0.94543,                0.99038,                0.95011,                0.97374,                0.90477,                0.26484,                0.52035,                0.20163,                0.79947,               0.008416,               0.008416,               0.008416
                     51,                 1.3261,                 2.5473,                 1.0539,                 1.2328,                0.99139,                 0.9524,                0.97772,                 0.9455,                0.99111,                0.94978,                0.97394,                0.90493,                0.26411,                 0.5203,                0.20123,                0.79937,               0.008383,               0.008383,               0.008383
                     52,                  1.333,                 2.5547,                 1.0636,                 1.2355,                0.99142,                 0.9525,                0.97782,                0.94558,                 0.9908,                0.95021,                 0.9739,                0.90493,                0.26399,                0.51993,                0.20114,                0.79932,                0.00835,                0.00835,                0.00835
                     53,                 1.3217,                 2.5374,                 1.0526,                 1.2312,                0.99131,                0.95283,                0.97772,                0.94564,                0.99037,                0.95055,                  0.974,                0.90556,                0.26335,                0.51886,                0.20024,                0.79901,               0.008317,               0.008317,               0.008317
