                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2007,                 2.3895,                 1.0951,                 1.4642,                0.86368,                 0.7815,                0.80808,                0.67227,                0.86755,                0.77522,                 0.8064,                 0.6509,                0.59448,                 1.0422,                0.58896,                 1.0958,               0.009274,               0.009274,               0.009274
                     25,                 1.1776,                 2.3647,                  1.081,                  1.451,                0.88397,                0.78091,                0.81236,                0.67028,                0.88447,                0.78122,                0.81023,                0.65924,                 0.5987,                 1.0322,                0.59583,                 1.0968,               0.009241,               0.009241,               0.009241
                     26,                 1.1811,                 2.3654,                 1.0718,                 1.4474,                0.89232,                0.78591,                0.82086,                0.68431,                0.90408,                0.78158,                0.82095,                0.67104,                0.56853,                 1.0048,                0.56512,                 1.0814,               0.009208,               0.009208,               0.009208
                     27,                 1.1572,                 2.3381,                 1.0509,                 1.4354,                0.89019,                0.79193,                0.81982,                 0.6877,                0.88745,                 0.7927,                0.81966,                0.66415,                0.56772,                0.97538,                0.55711,                 1.0727,               0.009175,               0.009175,               0.009175
                     28,                 1.1695,                  2.369,                 1.0623,                 1.4376,                0.88323,                0.78315,                0.81958,                0.68908,                0.89374,                0.78165,                0.81637,                0.66437,                0.55961,                0.96659,                0.55047,                 1.0688,               0.009142,               0.009142,               0.009142
                     29,                 1.1684,                 2.3486,                  1.049,                 1.4329,                0.87624,                0.79744,                0.81531,                0.68609,                0.87536,                0.78958,                0.80891,                0.65826,                0.56492,                0.96219,                0.56325,                 1.0732,               0.009109,               0.009109,               0.009109
                     30,                 1.1604,                 2.3438,                  1.049,                 1.4281,                 0.8711,                0.79538,                0.82306,                0.69284,                0.87809,                0.78825,                0.82199,                0.67835,                0.55826,                0.95897,                0.54338,                 1.0733,               0.009076,               0.009076,               0.009076
                     31,                 1.1494,                 2.3272,                 1.0319,                 1.4249,                0.90127,                0.79379,                0.82249,                0.69055,                0.89774,                0.79448,                 0.8175,                0.66969,                0.56319,                0.96743,                0.55062,                 1.0639,               0.009043,               0.009043,               0.009043
                     32,                 1.1287,                 2.2811,                 1.0074,                 1.4052,                0.86692,                0.80809,                0.82736,                0.69914,                0.86493,                0.79801,                0.81969,                0.66808,                0.55663,                0.96985,                0.53595,                 1.0649,                0.00901,                0.00901,                0.00901
                     33,                 1.1347,                 2.3136,                 1.0134,                 1.4082,                  0.891,                0.79818,                0.82946,                0.69841,                 0.8948,                0.79154,                0.82771,                0.67882,                0.55311,                 0.9484,                0.53288,                 1.0583,               0.008977,               0.008977,               0.008977
