                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6151,                 5.3319,                 3.7579,                 3.7924,                0.40234,                0.47162,                0.35709,                0.18241,                0.40962,                0.48384,                0.36825,                0.22396,                 2.0438,                 2.1406,                 2.0951,                 2.7709,              0.0033226,              0.0033226,              0.0033226
                      2,                 2.4553,                 3.8554,                 2.4886,                 2.5794,                0.77541,                0.67935,                0.75536,                0.53092,                0.77913,                0.67972,                 0.7564,                0.58221,                 1.2353,                 1.5925,                 1.6516,                 1.8008,               0.006634,               0.006634,               0.006634
                      3,                 2.1796,                 3.6265,                  2.223,                   2.21,                0.92293,                0.81299,                0.88201,                  0.682,                0.92092,                0.81131,                0.87734,                0.73694,                0.94769,                 1.3369,                0.94782,                  1.427,              0.0099234,              0.0099234,              0.0099234
                      4,                 1.9868,                 3.4441,                 2.0264,                 2.0002,                0.88737,                0.81637,                0.89126,                0.73398,                0.88721,                0.81508,                0.88725,                0.74308,                  0.764,                  1.134,                0.82759,                 1.2533,               0.009901,               0.009901,               0.009901
                      5,                 1.8796,                 3.3441,                 1.8991,                 1.9058,                0.95056,                0.86449,                0.92983,                0.80888,                0.94772,                0.86182,                 0.9244,                0.80553,                0.60738,                0.97492,                0.61977,                 1.1024,               0.009901,               0.009901,               0.009901
                      6,                 1.8245,                    3.3,                 1.8222,                 1.8453,                0.95739,                0.87855,                0.93658,                0.82389,                0.95634,                0.87518,                0.93221,                0.82585,                0.56722,                 0.9511,                0.54922,                 1.0597,               0.009868,               0.009868,               0.009868
                      7,                 1.7757,                 3.2362,                 1.7466,                 1.7974,                0.96246,                0.88959,                0.93767,                0.84219,                0.96038,                0.88802,                0.93389,                0.82851,                0.52396,                0.90648,                0.50296,                 1.0224,               0.009835,               0.009835,               0.009835
                      8,                 1.7408,                 3.1862,                  1.696,                 1.7717,                0.97187,                0.89926,                0.94649,                 0.8545,                0.97057,                0.89718,                0.94231,                0.83813,                0.50689,                0.88364,                0.46718,                 1.0091,               0.009802,               0.009802,               0.009802
                      9,                 1.7222,                 3.1576,                 1.6613,                  1.752,                0.96445,                0.90313,                0.94442,                0.85849,                0.96405,                  0.899,                0.94041,                0.83915,                0.47408,                0.84356,                0.45899,                0.99728,               0.009769,               0.009769,               0.009769
                     10,                 1.6896,                 3.1197,                 1.6188,                 1.7299,                0.96523,                0.90397,                0.94779,                0.85788,                0.96319,                0.90196,                0.94363,                0.84553,                0.49191,                0.82251,                 0.4498,                0.99047,               0.009736,               0.009736,               0.009736
